problem,baseline,ex_affeq_direct_HW_efficient_n6,ex_affeq_direct_all_efficient_n6,ex_affeq_direct_conn_efficient_n6,ex_affeq_direct_n6,ex_affeq_direct_twoway_efficient_n6
0364_sat,0.008,868.98,222.32,965.04,2973.24,165.77
0365_rand,0.005,0.03,0.05,645.7,598.34,751.74
0366_sat,0.022000000000000002,529.35,50.87,268.08,675.7,1994.42
0367_rand,0.005,0.03,0.05,,2919.37,
0368_sat,0.008,1450.5,1329.13,197.77,1064.86,2137.72
0369_rand,0.006,666.44,225.11,2670.29,1981.28,2491.01
0370_sat,0.012,986.8,418.84,894.85,530.69,454.56
0371_rand,0.006999999999999999,1178.34,489.01,1602.83,1784.82,1755.31
0372_sat,0.009000000000000001,835.71,52.76,1207.29,1274.35,1940.82
0373_rand,0.006,329.07,296.58,726.03,722.03,697.95
0374_sat,0.006999999999999999,589.47,775.77,1487.3,348.31,416.01
0375_rand,0.006,0.04,0.1,2055.55,1914.17,2331.61
0376_sat,0.012,1238.13,768.87,122.49,1847.58,1130.04
0377_rand,0.004,0.04,0.04,2518.45,1851.03,2862.45
0378_sat,0.009000000000000001,590.24,18.95,317.46,1187.66,334.7
0379_rand,0.005,0.03,0.05,1407.26,1247.44,1180.66
0380_sat,0.009000000000000001,77.86,66.74,28.78,327.91,261.55
0381_rand,0.005,1175.1,26.7,2437.28,2634.48,2094.48
0382_sat,0.01,107.99,163.22,70.74,50.4,125.6
0383_rand,0.004,0.03,0.07,1980.9,1807.33,2242.8
0384_sat,0.006,1529.69,158.49,677.85,1619.17,2504.68
0385_rand,0.005,1918.6,1479.61,2049.01,2312.66,2340.53
0386_sat,0.036000000000000004,793.83,420.7,1106.32,850.2,1083.36
0387_rand,0.005,2129.9,1084.5,1589.9,2229.85,1815.41
0388_sat,0.011000000000000001,416.17,19.75,14.67,688.81,1121.84
0389_rand,0.005,173.27,171.21,276.07,268.71,239.49
0390_sat,0.013999999999999999,187.2,556.59,716.77,603.72,381.85
0391_rand,0.004,0.03,0.09,1324.22,1127.1,1792.74
0392_sat,0.008,748.0,51.15,1641.67,49.34,2125.71
0393_rand,0.004,0.03,0.04,1967.42,2193.46,2762.65
0394_sat,0.008,533.88,529.36,390.83,1118.04,666.71
0395_rand,0.005,737.52,307.46,1033.16,1172.56,1463.4
0396_sat,0.015,156.46,628.86,1105.26,608.83,698.15
0397_rand,0.005,1490.4,760.61,,,
0398_sat,0.011000000000000001,123.8,259.15,2304.85,2424.03,1184.81
0399_rand,0.005,0.02,0.03,174.78,166.83,157.35
0400_sat,0.006999999999999999,770.55,35.13,715.88,149.37,278.37
0401_rand,0.006,839.72,650.72,953.43,1070.97,1229.48
0402_sat,0.033,116.45,482.11,198.82,1238.21,180.48
0403_rand,0.005,766.8,34.58,1680.8,1732.98,1807.59
0404_sat,0.009000000000000001,231.41,33.77,960.55,405.49,343.89
0405_rand,0.004,0.04,0.1,84.06,90.43,81.07
0406_sat,0.006,128.81,28.43,785.72,190.16,67.6
0407_rand,0.006,1079.74,815.87,,3371.26,2135.0
0408_sat,0.008,67.26,52.02,894.04,1806.83,18.3
0409_rand,0.006,0.03,0.1,1963.92,2042.52,2641.68
0410_sat,0.01,430.11,372.61,204.74,225.18,1332.25
0411_rand,0.006999999999999999,1334.99,1185.62,1906.38,2183.23,2728.4
0412_sat,0.006999999999999999,372.55,473.68,87.3,253.98,172.4
